feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-096,815.5252605920695,815.5724826653777,815.4837884085781,0.023023998027513995,1299.3577408679637,1319.7332979838072,1301.576686001449,1296.8377586315107,1285.7117818196627,1.124421705883728
FT-097,1221.7827177901243,1221.8524106055202,1221.7169620344262,0.03547859290414198,1303.3882126599995,1325.2522073790099,1305.5225406711747,1300.5926303818032,1288.0357986272763,1.3854620585509168
FT-098,1234.2853604665481,1234.3584080913142,1234.2175489976564,0.03552760906287366,1298.978903962394,1315.1444068651524,1301.099355556177,1296.7371931063972,1285.3820376449771,1.0487614830989662
FT-099,1296.3371434985418,1296.4131279821509,1296.2692935047883,0.03736522265798751,1325.9803275270754,1346.0861753380832,1328.1422415901347,1323.4768212611054,1305.3386232127343,1.1912823835485984
FT-100,1222.7890111601403,1222.8592513192573,1222.7275498290628,0.03589957510175067,1257.9887283196858,1272.9182917572732,1259.9658248859587,1255.53693243177,1245.8706452125716,1.2070912617475065
FT-101,1222.7800653728018,1222.853415898867,1222.7169146828526,0.03549243960498771,1300.021420828775,1340.6451712215658,1302.407113605227,1297.540546705481,1283.5628868551817,1.204843434452595
FT-102,1295.3371125063638,1295.4121806158157,1295.2703518474862,0.03904296820245218,1284.5115125888428,1294.5797058843823,1286.76247199753,1282.1484267015423,1273.3225453284513,1.1385088817335398
FT-103,1295.3340005034854,1295.4088685802842,1295.2660151633097,0.036900420590412986,1325.9263584717098,1348.1806891897468,1328.313249836628,1323.3256151193673,1304.770805939381,1.1895624336993404
FT-104,1222.2864765177096,1222.3567526513016,1222.2240203008816,0.03495093735366974,1258.1864030459938,1275.171996525355,1260.155835858117,1255.5775495992903,1245.5816309792672,1.2015301710468655
FT-105,1222.2792600253013,1222.3523829534292,1222.2154645351297,0.03563840437340698,1300.11549170832,1340.2901754940272,1302.4631226051679,1297.4683513117461,1283.18202748018,1.2617595384120577
FT-106,1231.808475840107,1231.8816441917318,1231.7485069533702,0.0346626482309744,1298.7819691151412,1313.5432695305844,1301.0484503119612,1296.3875712884783,1285.6570666769262,1.139751591946598
